,Unnamed: 0,SGA_ID_1,GALAXY,RA_LEDA,DEC_LEDA,MORPHTYPE,PA_LEDA,D25_LEDA,BA_LEDA,Z_LEDA,SB_D25_LEDA,FLUX_G,FLUX_R,FLUX_Z,FLUX_W1,FLUX_W2,FLUX_W3,FLUX_W4,DIST,LUM_W1,LUM_W2,LUM_W3,LUM_W4
112172,228230,292392.0,PGC2305853,114.05028,47.8673104,S?,145.07,0.5128614,0.3715352,0.055373307,24.76348,112.52145,317.66672,731.68884,739.19226,447.21417,551.0637,1561.8966,247.12854453635006,8924897428.718376,5550874117.6199665,5182328077.756931,18506030263.149067
143787,281325,208847.0,SDSSJ145720.18+083013.7,224.334033,8.5038,SBcd,64.45,0.91411334,0.5000345,0.034746036,25.08448,409.78555,666.47833,940.62885,507.48737,289.62637,798.35925,1044.9246,152.76659438944787,2341434603.4823384,1373709479.635867,3279736424.8194733,4727515240.359248
88895,186704,478120.0,SDSSJ163755.83+475009.8,249.4827195,47.83609439999999,S?,120.52,0.44157043,0.84139514,0.037327155,24.84748,119.67246,192.58517,232.0362,127.957245,67.44467,135.07986,122.36801,164.42656521239473,683925584.5156875,370588214.27395844,607316095.7174698,619751634.1468395
3254,5630,89547.0,PGC1131535,153.1802265,-0.9124119,Sc,107.79,0.4666594,0.34673685,0.07138572,24.97948,109.60872,257.04358,505.12704,477.3952,291.82074,383.66702,631.3418,322.21609658291845,9798791401.231537,6157587880.587265,6254563252.8998165,12500403583.152712
40027,82322,210972.0,SDSSJ154531.84+441450.6,236.382738,44.24738320000001,,102.27,0.4355119,0.23067471,0.036167353,25.478481,42.292633,77.80288,130.1594,115.17224,67.68781,87.15412,537.02277,159.18200205504968,576946759.9231937,348576727.3359874,341431785.9029092,2681027605.9551053
73593,153690,90752.0,SDSSJ162339.41+205412.1,245.9142495,20.9033199,S?,127.21,0.48083934,0.289068,0.03235872,25.30748,71.5211,114.32833,163.74564,101.611404,65.51913,287.3544,680.9688,142.02003216365878,405174090.1397067,268576082.7985757,1071299294.7717785,2716573407.705365
189218,359204,486197.0,SDSSJ111937.15+300745.2,169.9046985,30.1293235,S?,5.5,0.46025658,0.35974935,0.047185976,24.848482,96.42392,160.09068,233.1923,177.81749,112.61358,465.36124,154.32597,209.35287727184962,1540750593.6739273,1003110169.0069326,3751849270.6692677,1258670276.3305087
174591,333711,906163.0,SDSSJ085017.80+611801.2,132.5741145,61.300284600000005,,171.83,0.39627802,0.26977393,0.090961926,25.43448,37.595886,82.519424,158.3445,183.46313,120.04413,389.30145,119.873116,416.1515097583816,6281331985.877185,4225166984.855966,12214087092.551512,3771541128.5107036
200217,377145,653352.0,SDSSJ151607.67+192558.1,229.031988,19.4328615,S?,133.68,0.42756286,0.34673685,0.048887152,24.911482,69.07973,100.10878,128.26463,78.32836,48.880905,91.14171,6.9677587,217.16728834891322,730311014.6145196,468519914.29106385,726599029.7728745,22478137.780644834
162191,313026,912718.0,SDSSJ095708.43+114705.6,149.285091,11.7848848,E?,50.73,0.3935501,0.32359365,0.07979386,25.232481,42.173515,100.30501,212.31569,269.0207,182.68095,872.2645,944.9138,362.27685080241287,6980183922.709635,4872753354.374874,21321971574.32534,24332365850.846226
83534,177218,456916.0,2MASXJ11062989+1504222,166.624491,15.0729026,Sc,176.41,0.5821032,0.25061092,0.091901906,25.183481,118.295525,299.3588,673.3115,854.636,511.53845,675.0751,1362.0425,420.72027432097946,29906670419.77635,18402005880.769653,18681380455.15844,46339102188.297905
101214,208958,117847.0,SDSSJ111215.72+254442.2,168.0655695,25.7450212,,132.97,0.41020408,0.23713736,0.09514349,25.40348,43.504147,87.698586,158.44675,172.90399,117.48871,460.946,1406.2726,436.51658854730346,6513381559.352909,4549855880.063455,16175762055.320147,53080888840.6199
193102,365824,37378.0,SDSSJ121902.27+114049.0,184.759476,11.6802812,,127.21,0.42559844,0.31188896,0.088738054,25.296482,49.84232,89.69243,141.82971,97.498215,59.42382,156.46883,194.52034,405.3635373938308,3167276853.8602376,1984494633.6934419,4535935260.384247,6190688157.061553
91280,190886,1086327.0,PGC1407537,334.1276835,12.324632199999998,E?,142.24,0.49317384,0.26915348,0.06978928,24.80248,114.46646,267.9449,570.58124,677.5704,451.75607,1366.2681,2211.2063,314.6587346642706,13262763004.246023,9090412282.315367,24402630884.43599,42900133904.000244
67261,139417,281013.0,SDSSJ121706.31+211659.9,184.276389,21.2832472,S?,54.44,0.41114974,0.29580125,0.08378763,25.047482,58.782265,122.929756,218.46611,219.09062,145.89362,823.43726,1616.3525,381.456126729288,6302501732.264245,4314450490.9268465,22474562182.375854,46555420109.382645
126684,252797,203701.0,PGC1658794,209.511621,21.8624657,Sc,134.19,0.4168694,0.29512095,0.06480883,25.182482,51.837013,114.98623,221.82997,308.48224,216.05234,1077.6646,1680.5502,291.1827318836,5170843555.76974,3722975746.0990877,17081433092.916557,28125304023.18083
162103,312888,365946.0,PGC1614960,122.4411915,20.060784,S?,156.75,0.5248075,0.30902955,0.043612503,25.171482,97.30032,155.74641,225.18771,123.992874,67.97726,170.96812,833.5774,192.99749341485543,913061569.1648451,514596694.71791744,1103172846.5319884,6141242884.595471
159633,308492,234777.0,PGC1572723,18.3272745,18.8614668,,125.0,0.64565426,0.25118864,0.040948328,24.98848,208.53798,375.8227,617.4818,466.89456,288.03464,888.8009,1833.2306,180.85646583021054,3019165315.4529343,1914753184.1765754,5217694373.196773,11786110936.043762
100504,207735,991150.0,2MASXJ00224312+1536086,5.679639,15.6023535,E?,38.91,0.34593934,0.40644333,0.0938199,24.80248,59.91828,153.46481,319.1763,322.0564,226.52109,819.911,901.04175,430.05910374086454,11775740455.9578,8514613396.65388,27843984815.62338,32555962933.54261
87220,183563,5359.0,SDSSJ131608.65+421217.8,199.0361655,42.2048984,S?,48.28,0.36391503,0.35727283,0.05629528,24.991482,44.577744,110.914825,216.94356,291.9502,189.6817,971.5558,1385.3002,251.40877154381175,3648124314.293991,2436611475.4247437,11452570760.342451,17255237105.048668
179200,341683,359667.0,SDSSJ083529.26+494805.5,128.8719135,49.80152460000001,S?,129.16,0.45498806,0.5571857,0.048524566,24.87648,95.79068,154.40395,217.46162,137.58998,89.43095,116.76068,654.0707,215.5002079019547,1263229311.9614446,844079263.5730077,862574807.654606,5986131713.396665
